Jomashop values	Normlised	Fix	Attribute			
Stainless Steel with Blue Rubber Inserts showing 24 Hour Markers 	 Stainless Steel / Rubber /  		 bezel.material			
Stainless Steel with Red Rubber Inlay 	 Stainless Steel / Rubber /  		 bezel.material			
Stainless Steel with Rubber 	 Stainless Steel / Rubber /  		 bezel.material			
Stainless Steel with a Black Rubber Inlay 	 Stainless Steel / Rubber /  		 bezel.material			
Stainless Steel with a Black Rubber Ring 	 Stainless Steel / Rubber /  		 bezel.material			
Stainless Steel with a Blue Rubber  Inlay 	 Stainless Steel / Rubber /  		 bezel.material			
Stainless Steel with a Blue Rubber Inlay 	 Stainless Steel / Rubber /  		 bezel.material			
Stainless Steel with a Blue Rubber Mold Top Ring 	 Stainless Steel / Rubber /  		 bezel.material			
Stainless Steel with a Red Rubber Top Ring 	 Stainless Steel / Rubber /  		 bezel.material			
Stainless Steel with a Rubber Inlay 	 Stainless Steel / Rubber /  		 bezel.material			
Stainless Steel with a White Rubber 	 Stainless Steel / Rubber /  		 bezel.material			
Stainless Steel with a White Rubber Inlay 	 Stainless Steel / Rubber /  		 bezel.material			
Stainless Steel with a White Rubber Ring 	 Stainless Steel / Rubber /  		 bezel.material			
Stainless Steell and Rubber 	 Stainless Steel / Rubber /  		 bezel.material			
Black Rubber Coated Stainless Steel 	 Stainless Steel / Rubber /  		 case.material			
Black Rubber coated Stainless Steel 	 Stainless Steel / Rubber /  		 case.material			
Black Rubber over Stainless Steel 	 Stainless Steel / Rubber /  		 case.material			
Black Rubber-Coated Stainless Steel 	 Stainless Steel / Rubber /  		 case.material			
Black Stainless Steel and Rubber 	 Stainless Steel / Rubber /  		 case.material			
Blue Rubber Coated Stainless Steel 	 Stainless Steel / Rubber /  		 case.material			
Blue Rubber Covered Stainless Steel 	 Stainless Steel / Rubber /  		 case.material			
Blue Rubber-Coated Stainless Steel 	 Stainless Steel / Rubber /  		 case.material			
Gray Rubber-Coated Stainless Steel 	 Stainless Steel / Rubber /  		 case.material			
Grey Rubber-Coated Stainless Steel 	 Stainless Steel / Rubber /  		 case.material			
Rubber Coated Stainless Steel 	 Stainless Steel / Rubber /  		 case.material			
Stainless Steel and Pink Rubber 	 Stainless Steel / Rubber /  		 case.material			
Stainless Steel and Rubber 	 Stainless Steel / Rubber /  		 case.material			
Stainless Steel coated in Vulcanized Rubber 	 Stainless Steel / Rubber /  		 case.material			
Stainless Steel covered with Dark Green Rubber 	 Stainless Steel / Rubber /  		 case.material			
Stainless Steel w. Vulcanized Rubber-Coating 	 Stainless Steel / Rubber /  		 case.material			
Stainless Steel with Black Rubber Clad 	 Stainless Steel / Rubber /  		 case.material			
Stainless Steel with Pink Rubber Covering 	 Stainless Steel / Rubber /  		 case.material			
Stainless Steel with Teal Rubber Covering 	 Stainless Steel / Rubber /  		 case.material			
Stainless Steel with White Rubber Covering 	 Stainless Steel / Rubber /  		 case.material			
Stainless Steel/Rubber 	 Stainless Steel / Rubber /  		 case.material			
Stainless steel with vulcanized rubber-coating 	 Stainless Steel / Rubber /  		 case.material			
Two-tone (stainless steel and white rubber) 	 Stainless Steel / Rubber /  		 case.material			
Vulcanized Matte Black Rubber coated Stainless Ste 	 Stainless Steel / Rubber /  		 case.material			
White Rubber Covered Stainless Steel 	 Stainless Steel / Rubber /  		 case.material			
Black Silicone Rubber with Gunmetal Ion-plated 	 Stainless Steel / Rubber / Silicone /  		 band.material			
Black Silicone Rubber with Stainless Steel 	 Stainless Steel / Rubber / Silicone /  		 band.material			
Black Silicone Rubber with Stainless Steel accents 	 Stainless Steel / Rubber / Silicone /  		 band.material			
Gunmetal Silicone Rubber 	 Stainless Steel / Rubber / Silicone /  		 band.material			
Silicone Rubber with Gunmetal Ion-plated 	 Stainless Steel / Rubber / Silicone /  		 band.material			
Silicone Rubber with Stainless Steel 	 Stainless Steel / Rubber / Silicone /  		 band.material			
Stainless Steel and Black Silicone Rubber 	 Stainless Steel / Rubber / Silicone /  		 band.material			
Stainless Steel wrapped in Brown Silicone Rubber 	 Stainless Steel / Rubber / Silicone /  		 band.material			
Stainless Steel Bracelet set with Black Sapphires 	 Stainless Steel / Sapphire /  		 band.material			
Stainless Steel Bracelet with Black Sapphires and 	 Stainless Steel / Sapphire /  		 band.material			
Stainless Steel set with White Pyramid Sapphires 	 Stainless Steel / Sapphire /  		 band.material			
Stainless Steel set with White Sapphires 	 Stainless Steel / Sapphire /  		 band.material			
Stainless Steel with Black Sapphires 	 Stainless Steel / Sapphire /  		 band.material			
Stainless Steel with Grey Sapphires 	 Stainless Steel / Sapphire /  		 band.material			
Stainless Steel with Pink Sapphire 	 Stainless Steel / Sapphire /  		 band.material			
Stainless Steel with Pink Sapphires 	 Stainless Steel / Sapphire /  		 band.material			
Stainless Steel with Pyramid Sapphires 	 Stainless Steel / Sapphire /  		 band.material			
Stainless Steel with Red Pyramid Sapphire 	 Stainless Steel / Sapphire /  		 band.material			
Stainless Steel with Sapphires 	 Stainless Steel / Sapphire /  		 band.material			
Stainless Steel with Two Rows of Sapphires 	 Stainless Steel / Sapphire /  		 band.material			
Stainless Steel with White Pyramid Sapphires 	 Stainless Steel / Sapphire /  		 band.material			
Stainless Steel with White Sapphires 	 Stainless Steel / Sapphire /  		 band.material			
Stainless Steel set with Blue Sapphires 	 Stainless Steel / Sapphire /  		 bezel.material			
Stainless Steel set with Orange Sapphires 	 Stainless Steel / Sapphire /  		 bezel.material			
Stainless Steel with Pink Sapphires 	 Stainless Steel / Sapphire /  		 bezel.material			
Stainless Steel with a Black (Sapphire Coated) Top Ring 	 Stainless Steel / Sapphire /  		 bezel.material			
Stainless Steel with a Black Sapphire Ring showing Compass Markings 	 Stainless Steel / Sapphire /  		 bezel.material			
Stainless Steel with a Blue Faceted Sapphire Ring 	 Stainless Steel / Sapphire /  		 bezel.material			
Stainless Steel Case with Black Sapphires and Diam 	 Stainless Steel / Sapphire /  		 case.material			
Stainless Steel with Diamonds and Blue Sapphires 	 Stainless Steel / Sapphire / Diamond /  		 band.material			
Stainless Steel with Red Sapphires/Diamonds 	 Stainless Steel / Sapphire / Diamond /  		 band.material			
Stainless Steel set with Diamonds and Purple Sapphires and 	 Stainless Steel / Sapphire / Diamond /  		 bezel.material			
Stainless Steel with Diamonds and Blue Sapphires 	 Stainless Steel / Sapphire / Diamond /  		 bezel.material			
Stainless Steel Case with Red Sapphires/Diamonds 	 Stainless Steel / Sapphire / Diamond /  		 case.material			
Satin Stainless Steel 	 Stainless Steel / Satin /  		 band.material			
Semi-Satinated Stainless Steel 	 Stainless Steel / Satin /  		 band.material			
Satin Stainless Steel 	 Stainless Steel / Satin /  		 bezel.material			
Satin Stainless Steel 	 Stainless Steel / Satin /  		 case.material			
18K Sedna Gold and Stainless Steel 	 Stainless Steel / Sedna Gold /  		 band.material			
Stainless Steel and 18k Sedna Gold 	 Stainless Steel / Sedna Gold /  		 band.material			
Stainless Steel and 18kt Sedna Gold 	 Stainless Steel / Sedna Gold /  		 band.material			
Stainless Steel with 18kt Sedna Gold 	 Stainless Steel / Sedna Gold /  		 band.material			
Stainless Steel with 18kt Sedna Gold  Bars 	 Stainless Steel / Sedna Gold /  		 band.material			
Stainless Steel with 18kt Sedna Gold Accents 	 Stainless Steel / Sedna Gold /  		 band.material			
Stainless Steel with 18kt Sedna Gold Bars 	 Stainless Steel / Sedna Gold /  		 band.material			
Stainless Steel with 18kt Sedna Gold Links 	 Stainless Steel / Sedna Gold /  		 band.material			
Stainless Steel with 18kt Sedna Gold links 	 Stainless Steel / Sedna Gold /  		 band.material			
Stainless Steel with Sedna Gold Bars 	 Stainless Steel / Sedna Gold /  		 band.material			
Stainless Steel with Sedna Gold Center Links 	 Stainless Steel / Sedna Gold /  		 band.material			
18K Sedna Gold and Stainless Steel 	 Stainless Steel / Sedna Gold /  		 case.material			
Stainless Steel & 18kt Sedna Gold 	 Stainless Steel / Sedna Gold /  		 case.material			
Stainless Steel and 18k Sedna Gold 	 Stainless Steel / Sedna Gold /  		 case.material			
Stainless Steel and 18kt Sedna Gold 	 Stainless Steel / Sedna Gold /  		 case.material			
Black IOn-plated Stainless Steel and Black Silicon 	 Stainless Steel / Silicone /  		 band.material			
Black Ion-plated Stainless Steel and Blue Silicone 	 Stainless Steel / Silicone /  		 band.material			
Black Silicone (wrapped Stainless Steel) 	 Stainless Steel / Silicone /  		 band.material			
Black Silicone / Silver-Tone Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Black Silicone / Two-Tone Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Black Silicone and Rose Gold-tone Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Black Silicone covered Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Black Silicone with Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Black Silicone with Stainless Steel Accents 	 Stainless Steel / Silicone /  		 band.material			
Black Silicone with Stainless Steel center 	 Stainless Steel / Silicone /  		 band.material			
Black Silicone wraped Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Black Silicone wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Blue Silicone / Two-Tone Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Blue Silicone and Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Blue Silicone with Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Blue Silicone wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Gold-tone Stainless Steel and White Silicone 	 Stainless Steel / Silicone /  		 band.material			
Gold-tone Stainless Steel with Orange Silicone cen 	 Stainless Steel / Silicone /  		 band.material			
Grey Ion-plated Stainless Steel with Black Silicon 	 Stainless Steel / Silicone /  		 band.material			
Gunmetal Silicone 	 Stainless Steel / Silicone /  		 band.material			
Ion-plated Stainless Steel with Blue Silicon 	 Stainless Steel / Silicone /  		 band.material			
Ion-plated Stainless Steel with Silicone 	 Stainless Steel / Silicone /  		 band.material			
Navy Silicone Warapped Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Olive Silicone with Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Pink Silicone wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Purple Silicone and Gold tone Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Rose Gold-tone Stainless Steel with Brown Silicone 	 Stainless Steel / Silicone /  		 band.material			
Silicone / Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone With Stainless Steel Barrel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone Wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone and Black Ion-plated Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone and Blue Ion-plated Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone and Blue Ion-plated Stainless Steel Barre 	 Stainless Steel / Silicone /  		 band.material			
Silicone and Green Ion-plated Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone and Grey-plated Stainless Steel Barrel I 	 Stainless Steel / Silicone /  		 band.material			
Silicone and Rose Gold-tone Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone and Rose Gold-tone Stainless Steel Barrel 	 Stainless Steel / Silicone /  		 band.material			
Silicone and Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone and Stainless Steel Accents 	 Stainless Steel / Silicone /  		 band.material			
Silicone and Stainless Steel Barrel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone and Stainless Steel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone and Yellow Gold-tone Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone and Yellow Gold-tone Stainless Steel Barr 	 Stainless Steel / Silicone /  		 band.material			
Silicone and Yellow Gold-tone Stainless Steel Barrel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone covered Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone with  Yellow Gold-tone Stainless Steel Ba 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Black Ion-plated Stainless Steel Bar 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Black Ion-plated Stainless Steel Barrel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Black Ion-plated Stainless Steel Ins 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Black-plated Stainless Steel Accents 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Black-plated Stainless Steel Barrel 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Black-plated Stainless Steel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Black-plated Stainless steel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Blue-plated Stainless Steel Barrel I 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Gold-tone Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Gold-tone Stainless Steel Barrel Ins 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Gold-tone Stainless Steel Center 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Gold-tone Stainless Steel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Gold-tone Stainless Steel Twisted Wi 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Gunmetal Cable Wire Accents 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Gunmetal Ion-plated Barrel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Gunmetal Ion-plated Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Gunmetal Ion-plated Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Gunmetal-plated Barrel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Gunmetal-plated Stainless Steel Barr 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Ion-plated Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Iridescent Rainbow-plated Stainless 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Iridescent Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Iridescent Stainless Steel  Ac 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Iridescent Stainless Steel Ac 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Iridescent Stainless Steel barrel In 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Metallic Blue Stainless Steel Barrel 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Navy Ion-plated Stainless Steel Barr 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Red Ion-plated Stainless Steel Inser 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Rose Gold-tone Stainless Steel Acc 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Rose Gold-tone Stainless Steel Bar 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Rose Gold-tone Stainless Steel Barre 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Rose Gold-tone Stainless Steel Barrel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Rose Gold-tone Stainless Steel Cable 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Rose Gold-tone Stainless Steel Ins 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Rose Gold-tone Stainless Steel Inser 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Stainless Steeel 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Stainless Steel Accents 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Stainless Steel Barrel 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Stainless Steel Barrel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Stainless Steel Cable Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Stainless Steel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Stainless Steel center 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Stainless Steel inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Stainless steel Barrel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Stainless teel 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Yellow Gold-tone Stainless Stee Barr 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Yellow Gold-tone Stainless Stee Barrel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Yellow Gold-tone Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Yellow Gold-tone Stainless Steel Acc 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Yellow Gold-tone Stainless Steel Accents 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Yellow Gold-tone Stainless Steel Ba 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Yellow Gold-tone Stainless Steel Bar 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Yellow Gold-tone Stainless Steel Barrel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Yellow Gold-tone Stainless Steel Cab 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Yellow Gold-tone Stainless Steel Ins 	 Stainless Steel / Silicone /  		 band.material			
Silicone with Yellow gold-tone Stainless Steel Bar 	 Stainless Steel / Silicone /  		 band.material			
Silicone with a Gunmetal Stainless Steel Barrel In 	 Stainless Steel / Silicone /  		 band.material			
Silicone with a Stainless Steel Barrel Inserts 	 Stainless Steel / Silicone /  		 band.material			
Silicone with a Yellow Gold-tone Stainless Steel B 	 Stainless Steel / Silicone /  		 band.material			
Silicone wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone wth Stainless Steel Barrel Inserts 	 Stainless Steel / Silicone /  		 band.material			
"Silicone, Stainless Steel "	 Stainless Steel / Silicone /  		 band.material			
Silicone-covered Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silicone/Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
"Siliconem, Stainless Steel "	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel and Black Silicone 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel and Black Silicone Inlay 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel and Blue Silicone 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel and Blue Silicone Center 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel and Blue Silicone Inlays 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel and Blue Silicone-wrapped 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel and Grey Silicone 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel and Pink Silicone 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel and Silcone 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel and Silicone 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with Black Silicone 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with Black Silicone Accents 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with Black Silicone-covered Center 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with Blue (Silicone-wrapped) Cente 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with Blue Silicone Center Li 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with Blue Silicone Inlay 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with Blue Silicone-covered Center 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with Blush Pink Silicone Center Li 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with Green Silicone-covered Center 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with Grey Silicone 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with Pink Silicone 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with Silicone 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with Silicone center 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with White Silicone 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with White Silicone Center 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with White Silicone Center links 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with a Black Silicone Center 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel with a White Silicone Center 	 Stainless Steel / Silicone /  		 band.material			
Stainless Steel wrapped in Black Silicone 	 Stainless Steel / Silicone /  		 band.material			
"Stainless Steel, Silicone "	 Stainless Steel / Silicone /  		 band.material			
Turquoise Silicone covered Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
White Silicone Wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
White Silicone wraped Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
White Silicone-wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 band.material			
Silcone and Stainless Steel 	 Stainless Steel / Silicone /  		 bezel.material			
Silicone covered Stainless Steel 	 Stainless Steel / Silicone /  		 bezel.material			
Stainless Steel  with a White Silicone Rim 	 Stainless Steel / Silicone /  		 bezel.material			
Stainless Steel and Silicone 	 Stainless Steel / Silicone /  		 bezel.material			
Stainless Steel with a Black Silicone Inlay 	 Stainless Steel / Silicone /  		 bezel.material			
Stainless Steel with a Blue Silicone Rim 	 Stainless Steel / Silicone /  		 bezel.material			
Stainless Steel with a Blue Silicone rim 	 Stainless Steel / Silicone /  		 bezel.material			
Stainless Steel with a Green Silicone 	 Stainless Steel / Silicone /  		 bezel.material			
Stainless Steel with a White Silicone Inlay 	 Stainless Steel / Silicone /  		 bezel.material			
Stainless Steel with a White Silicone Rim 	 Stainless Steel / Silicone /  		 bezel.material			
Stainless Steel with a White Silicone Top 	 Stainless Steel / Silicone /  		 bezel.material			
Beige Silicone-Wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Black Silicone and Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Black Silicone covered Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Black Silicone-Wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Blue Silicone and Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Blue Silicone covered Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Blue Silicone-Wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Blue Silicone-covered Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Gold-tone Stainless Steel with White Silicone Cove 	 Stainless Steel / Silicone /  		 case.material			
Green Silicone coated Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Gunmetal Silicone 	 Stainless Steel / Silicone /  		 case.material			
Hot Pink Silicone-Wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Lavender Silicone-Wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Lilac Silicone-wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Maroon Silicone-wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Pink Silicone and Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Red Silicone covered Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Red Silicone-Covered Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Silicone covered Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Silicone-Wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Stainless Steel Case with Orange Silicone Cover 	 Stainless Steel / Silicone /  		 case.material			
Stainless Steel and Silicone 	 Stainless Steel / Silicone /  		 case.material			
Stainless Steel with Purple Silicone 	 Stainless Steel / Silicone /  		 case.material			
Stainless Steel with a Aqua Blue Silicone Cover 	 Stainless Steel / Silicone /  		 case.material			
Stainless Steel with a Black Silicone Cover 	 Stainless Steel / Silicone /  		 case.material			
Stainless Steel with a Black Silicone cover 	 Stainless Steel / Silicone /  		 case.material			
Stainless Steel with a Blue Silicone Cover 	 Stainless Steel / Silicone /  		 case.material			
Stainless Steel with a Hot Pink Silicone Cover 	 Stainless Steel / Silicone /  		 case.material			
Stainless Steel with a Purple Silicone Cover 	 Stainless Steel / Silicone /  		 case.material			
Stainless Steel with a Transparent Silicone Cover 	 Stainless Steel / Silicone /  		 case.material			
Stainless Steel with a White Silicone cover 	 Stainless Steel / Silicone /  		 case.material			
Stainless Steel with an Aqua Blue Silicone Cover 	 Stainless Steel / Silicone /  		 case.material			
Stainless Steel with silicone 	 Stainless Steel / Silicone /  		 case.material			
Stainless Steel/Silicone 	 Stainless Steel / Silicone /  		 case.material			
White Silicone-Wrapped Stainless Steel 	 Stainless Steel / Silicone /  		 case.material			
Silver Stainless Steel 	 Stainless Steel / Silver /  		 band.material			
Silver and Black-Tone Stainless Steel 	 Stainless Steel / Silver /  		 band.material			
Silver and Gold-tone Stainless Steel with White Ce 	 Stainless Steel / Silver /  		 band.material			
Silver and Rose Gold-Tone Stainless Steel 	 Stainless Steel / Silver /  		 band.material			
Silver and Rose Gold-tone Stainless Steel 	 Stainless Steel / Silver /  		 band.material			
Stainless Steel Two-tone (Gold-tone and Silver-ton 	 Stainless Steel / Silver /  		 band.material			
Two (Silver and Gold-tone) Stainless Steel 	 Stainless Steel / Silver /  		 band.material			
Two (Silver and Rose Gold-tone) Stainless Steel 	 Stainless Steel / Silver /  		 band.material			
Two Tone Stainless Steel (Silver and Gold-Tone) 	 Stainless Steel / Silver /  		 band.material			
Two--tone (Silver and Gold-tone) Stainless Steel 	 Stainless Steel / Silver /  		 band.material			
Two-Tone Stainless Steel (Silver and Gold-Tone) 	 Stainless Steel / Silver /  		 band.material			
Two-tone (Black and Silver) Stainless Steel 	 Stainless Steel / Silver /  		 band.material			
Two-tone (Silver and 18kt Gold-tone) Stainless Ste 	 Stainless Steel / Silver /  		 band.material			
Two-tone (Silver and 18kt gold-tone) Stainless Ste 	 Stainless Steel / Silver /  		 band.material			
Two-tone (Silver and Black Ion-plated ) Stainless 	 Stainless Steel / Silver /  		 band.material			
Two-tone (Silver and Gold-tone Stainless Steel) 	 Stainless Steel / Silver /  		 band.material			
Two-tone (Silver and Gold-tone)Stainless Steel 	 Stainless Steel / Silver /  		 band.material			
Two-tone (Silver and Gunmetal ) Stainless Steel 	 Stainless Steel / Silver /  		 band.material			
Two-tone (Silver and Rose Gold-tone)Stainless Stee 	 Stainless Steel / Silver /  		 band.material			
Two-tone (Silverand Gold-tone) Stainless Steel 	 Stainless Steel / Silver /  		 band.material			
Two-tone Silver and Rose Gold-tone Stainless Steel 	 Stainless Steel / Silver /  		 band.material			
Two-tone Stainless Steel (gold-tone and silver-ton 	 Stainless Steel / Silver /  		 band.material			
Two-tone silver and black stainless steel 	 Stainless Steel / Silver /  		 band.material			
Two-tone(Silver and Gold-tone) Stainless Steel 	 Stainless Steel / Silver /  		 band.material			
Stainless Steel with Black and Silver Cable Wire Trim 	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with Red and Silver Cable 	 Stainless Steel / Silver /  		 bezel.material			
"Stainless Steel with Red, Silver, Black Cable Wire Trim "	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with Rose and Silver Cable 	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with Silver Cabel Wire Trim 	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with Silver Cable Wire Trim 	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with a Black and Silver Inlay 	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with a Black and Silver Ring 	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with a Black and Silver Top Ring 	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with a Blue and Silver Ring 	 Stainless Steel / Silver /  		 bezel.material			
Stainless Steel with a Blue and Silver Top Ring 	 Stainless Steel / Silver /  		 bezel.material			
