Jomashop values	Normlised	Fix	Attribute			
Blue Polyamide 	Polyamide	Polyamide	 case.material			
Breitlight 	  		 case.material			
Breitlight (Ultralight Polymer) 	Polymer	Polymer	 case.material			
Breitlight - Ultralight Polymer 	Polymer	Polymer	 case.material			
Breitlight® 	  		 case.material			
Brown Cover 	  		 case.material			
Brushed Tatanium 	Titanium	Titanium	 case.material			
Brushed Titamium 	Titanium	Titanium	 case.material			
Brushed/Polished 316L Surgical Grade Silvertone 	  		 case.material			
Caramic 	Ceramic	Ceramic	 case.material			
Ceramaic 	Ceramic	Ceramic	 case.material			
Copper 	Copper	Copper	 case.material			
Copper Ionic Plated 	Copper-plated	Copper-plated	 case.material			
Copper PVD 	Copper PVD	Copper PVD	 case.material			
Coral Polyamide 	Polyamide	Polyamide	 case.material			
Corian 	  		 case.material			
Custom 22mm Silver IP plated 	  		 case.material			
Custom 42mm X 26mm 	  		 case.material			
Custom Injection Molded TR90 	Plastic	Plastic	 case.material			
Diaphane 	Diaphane	Diaphane	 case.material			
Forged Carbom 	Carbon	Carbon	 case.material			
Gold-tone 	  		 case.material			
Gold-tone  Ion-plated 	  		 case.material			
Gold-tone PVD 	  		 case.material			
Green 	  		 case.material			
Green Plasteramic 	Plasteramic	Plasteramic	 case.material			
Grey Ion-plated 	  		 case.material			
Grey TR90 	Plastic	Plastic	 case.material			
Hardmetal 	Base Metal	Base Metal	 case.material			
Horn-shell Plasteramic 	Plasteramic	Plasteramic	 case.material			
IP Black 	  		 case.material			
IP Grey 	  		 case.material			
Ice (white) Plasteramic 	Plasteramic	Plasteramic	 case.material			
Injection Molded TR90 	Plastic	Plastic	 case.material			
Light Blue Plasteramic 	Plasteramic	Plasteramic	 case.material			
Lime Polyamide 	Polyamide	Polyamide	 case.material			
Magnesium 	Magnesium	Magnesium	 case.material			
Magnesium and PEEK 	Magnesium	Magnesium	 case.material			
Marbled Green Camo 	  		 case.material			
Matte Black PVD (Physical Vapor Deposition) 'Carbo 	  		 case.material			
Matte Black Polymer 	Polymer	Polymer	 case.material			
Matte Racy Red Ergal 	  		 case.material			
Micro-Blasted Tantalum 	  		 case.material			
Mori Moss (Environmentally Friendly) 	  		 case.material			
Nickel Compliant 	  		 case.material			
Orange Plasteramic 	Plasteramic	Plasteramic	 case.material			
Originals 	  		 case.material			
Pastic 	Plastic	Plastic	 case.material			
Patinum 	Platinum	Platinum	 case.material			
Pink Duralumin 	Duralumin	Duralumin	 case.material			
Pink Gold-Tone Duralumin 	Duralumin	Duralumin	 case.material			
Pink Plastc 	Plasteramic	Plasteramic	 case.material			
Pink Plasteramic 	Plasteramic	Plasteramic	 case.material			
Pink Thermopolymer 	Polymer	Polymer	 case.material			
Plasteramic 	Plasteramic	Plasteramic	 case.material			
Platiunum 	Platinum	Platinum	 case.material			
Platnum 	Platinum	Platinum	 case.material			
Platrinum 	Platinum	Platinum	 case.material			
Plexiglas 	Plexiglass	Plexiglass	 case.material			
Polyamide 	Polyamide	Polyamide	 case.material			
Polymeric 	Polymer	Polymer	 case.material			
PowerLite 	  		 case.material			
Red Duralumin 	Duralumin	Duralumin	 case.material			
Reinforced ABS 	Plasic	Plasic	 case.material			
Rose Gold-Tone 	  		 case.material			
Rose Gold-tone 	  		 case.material			
Rose Gold-tone PVD 	  		 case.material			
Sand Plasteramic 	Plasteramic	Plasteramic	 case.material			
Sandblasted 			 case.material			
Satin Brushed Titanuim 	Titanium	Titanium	 case.material			
Satin-finished Zirconium 	Zirconium	Zirconium	 case.material			
Silver-tone 	  		 case.material			
Silver-tone Duralumin 	Duralumin	Duralumin	 case.material			
Silver-tone Medal 	Base Metal	Base Metal	 case.material			
Silver-tone Zalium 	Zalium	Zalium	 case.material			
Silver-tone base Betal 	Base Metal	Base Metal	 case.material			
Snowflake Obsidian 	  		 case.material			
Spay 	  		 case.material			
TR90 	Plastic	Plastic	 case.material			
TR90 Composie 	Plastic	Plastic	 case.material			
Tantalum 	Titanium	Titanium	 case.material			
Tantanium 	Titanium	Titanium	 case.material			
Texalium 	Texalium	Texalium	 case.material			
Thermo Polymer Molded 	Polymer	Polymer	 case.material			
Thermo-polymer 	Polymer	Polymer	 case.material			
Tiitanium 	Titanium	Titanium	 case.material			
Tortoise 	  		 case.material			
Translucent Yellow 	  		 case.material			
Transparent Plexiglas 	Plexiglass	Plexiglass	 case.material			
Ttianium 	Titanium	Titanium	 case.material			
Two-tone (Gold-tone and Black) PVD 	  		 case.material			
Two-tone (Silver-tone and Gold-tone) 	  		 case.material			
Two-tone Silver-tone and Gold-tone PVD 	  		 case.material			
Ultralight 	  		 case.material			
Ultralight Polymer 	Polymer	Polymer	 case.material			
Ultralight Polymer (Breitlight) 	Polymer	Polymer	 case.material			
White PVD 			 case.material			
White Plsatic 	Plastic	Plastic	 case.material			
White Polyamide 	Polyamide	Polyamide	 case.material			
White TR90 	Plastic	Plastic	 case.material			
Yellow Gold-Tone 			 case.material			
Yellow Gold-Tone Duralumin 	Duralumin	Duralumin	 case.material			
Yellow Gold-tone 			 case.material			
Yellow PVD coating 			 case.material			
Yellow TR 90 	Plastic	Plastic	 case.material			
Zalium 	Zalium	Zalium	 case.material			
Zalium with DLC coating 	Zalium	Zalium	 case.material			
Zicronium 	Zirconium	Zirconium	 case.material			
Zirconium 	Zirconium	Zirconium	 case.material			
Mint Green Acetate 	 Acetate /  		 band.material			
Acetate 	 Acetate /  		 band.material			
Acetate Bangle 	 Acetate /  		 band.material			
Acetate with Gold-tone Center Links 	 Acetate /  		 band.material			
Acetate with Rose Gold-tone Links 	 Acetate /  		 band.material			
Amber Acetate 	 Acetate /  		 band.material			
Black PVD Acetate 	 Acetate /  		 band.material			
Black Tortoise Acetate 	 Acetate /  		 band.material			
Blue Acetate 	 Acetate /  		 band.material			
Brown Amber Acetate 	 Acetate /  		 band.material			
Brown Tortoise Shell Acetate 	 Acetate /  		 band.material			
Brown and Orange Acetate 	 Acetate /  		 band.material			
Camouflage Acetate 	 Acetate /  		 band.material			
Clear Acetate 	 Acetate /  		 band.material			
Clear Acetate Bracelet with Silver-tone Center Lin 	 Acetate /  		 band.material			
Clear Acetate with Rose Gold-tone Center Links 	 Acetate /  		 band.material			
Cloudy Grey Acetate 	 Acetate /  		 band.material			
Dark Tortoise-shell Acetate 	 Acetate /  		 band.material			
Handmade Acetate 	 Acetate /  		 band.material			
Horn Acetate 	 Acetate /  		 band.material			
Horn Acetate with Gold-tone center links 	 Acetate /  		 band.material			
Horn and Tortoise-shell Acetate 	 Acetate /  		 band.material			
Lavender Acetate 	 Acetate /  		 band.material			
Marbled Acetate with Rose Gold-tone center links 	 Acetate /  		 band.material			
Merlot Tortoise Acetate 	 Acetate /  		 band.material			
Multicolor Acetate 	 Acetate /  		 band.material			
Multicolour Acetate 	 Acetate /  		 band.material			
Navy Tortoise Acetate 	 Acetate /  		 band.material			
Polished Acetate 	 Acetate /  		 band.material			
Purple Acetate 	 Acetate /  		 band.material			
Rose Acetate 	 Acetate /  		 band.material			
Shimmer Horn Acetate 	 Acetate /  		 band.material			
Tiger Acetate 	 Acetate /  		 band.material			
Tortoise Acetate 	 Acetate /  		 band.material			
Tortoise Shell Acetate Bangle 	 Acetate /  		 band.material			
Tortoise Shell Acetate with Gold-tone Center links 	 Acetate /  		 band.material			
Tortoise-shell Acetate 	 Acetate /  		 band.material			
Tortoise-shell and Horn Acetate Twist 	 Acetate /  		 band.material			
Watercolor Acetate 	 Acetate /  		 band.material			
White Acetate 	 Acetate /  		 band.material			
White Horn Acetate 	 Acetate /  		 band.material			
White and Clear Acetate 	 Acetate /  		 band.material			
Acetate 	 Acetate /  		 bezel.material			
Horn Acetate 	 Acetate /  		 bezel.material			
Cloudy Grey Acetate 	 Acetate /  		 case.material			
Mint Green Acetate 	 Acetate /  		 case.material			
Acetate 	 Acetate /  		 case.material			
Amber Acetate 	 Acetate /  		 case.material			
Black Acetate 	 Acetate /  		 case.material			
Black PVD Acetate 	 Acetate /  		 case.material			
Black Tortoise Acetate 	 Acetate /  		 case.material			
Brown Tortoise Shell Acetate 	 Acetate /  		 case.material			
Brown and Orange Acetate 	 Acetate /  		 case.material			
Camouflage Acetate 	 Acetate /  		 case.material			
Clear Acetate 	 Acetate /  		 case.material			
Emerald Acetate 	 Acetate /  		 case.material			
Green Acetate 	 Acetate /  		 case.material			
Green PVD Acetate 	 Acetate /  		 case.material			
Horn Acetate 	 Acetate /  		 case.material			
Lavender Acetate 	 Acetate /  		 case.material			
Multicolor Acetate 	 Acetate /  		 case.material			
Multicolour Acetate 	 Acetate /  		 case.material			
Navy Tortoise Acetate 	 Acetate /  		 case.material			
Orange Acetate 	 Acetate /  		 case.material			
Pink Acetate 	 Acetate /  		 case.material			
Polished Acetate 	 Acetate /  		 case.material			
Purple Acetate 	 Acetate /  		 case.material			
Red Acetate 	 Acetate /  		 case.material			
Tortoise Acetate 	 Acetate /  		 case.material			
Tortoise Shell Acetate 	 Acetate /  		 case.material			
Tortoise-look Acetate 	 Acetate /  		 case.material			
Tortoise-shell Acetate 	 Acetate /  		 case.material			
Transparent Acetate 	 Acetate /  		 case.material			
Watercolor Acetate 	 Acetate /  		 case.material			
White Acetate 	 Acetate /  		 case.material			
Velvet Acetate 	 Acetate / Fabric /  		 band.material			
Velvet Acetate 	 Acetate / Fabric /  		 case.material			
Horn Acetate Resin 	 Acetate / Resin /  		 band.material			
Zebra-print Tortoise Acetate Resin 	 Acetate / Resin /  		 band.material			
Acrylic 	 Acrylic /  		 band.material			
Acrylic Horn 	 Acrylic /  		 band.material			
Acrylic Tortoise 	 Acrylic /  		 band.material			
Faux Horn Acrylic 	 Acrylic /  		 band.material			
Faux Tortoise Shell Acrylic 	 Acrylic /  		 band.material			
Gold-tone with Faux Tortoise Shell Acrylic center 	 Acrylic /  		 band.material			
Horn Acrylic 	 Acrylic /  		 band.material			
Rose Gold-tone and White Acrylic 	 Acrylic /  		 band.material			
Tortoise Acrylic 	 Acrylic /  		 band.material			
Tortoise Acrylic and Gold-tone Multi Link 	 Acrylic /  		 band.material			
Tortoise Shell Acrylic 	 Acrylic /  		 band.material			
Tortoise-shell Acrylic with Gold-tone links 	 Acrylic /  		 band.material			
White Acrylic 	 Acrylic /  		 band.material			
Acrylic 	 Acrylic /  		 bezel.material			
Acrylic with Gold-tone trim 	 Acrylic /  		 bezel.material			
Faux Horn Acrylic 	 Acrylic /  		 bezel.material			
Acrylic 	 Acrylic /  		 case.material			
Acrylic Tortoise 	 Acrylic /  		 case.material			
Black Acrylic 	 Acrylic /  		 case.material			
Faux Horn Acrylic 	 Acrylic /  		 case.material			
Horn Acrylic 	 Acrylic /  		 case.material			
Rose Gold-tone and White Acrylic 	 Acrylic /  		 case.material			
Tortoise Shell Acrylic 	 Acrylic /  		 case.material			
White Acrylic 	 Acrylic /  		 case.material			
Acrylic glass and parts from the Apollo 11 spacecraft 	 Acrylic / Glass /  		 bezel.material			
Soft Touch Black Alligator 	 Alligator Leather /  		 band.material			
"(""Hornback"" Alligator) Leather "	 Alligator Leather /  		 band.material			
(Aligator) ) Leather 	 Alligator Leather /  		 band.material			
(Aligator) Leather 	 Alligator Leather /  		 band.material			
